[2016-12-15 10:05:13.736] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 500, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:14.901] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 520, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:15.824] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 540, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:16.864] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 560, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:17.878] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 580, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:18.651] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 600, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:18.949] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 620, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:19.251] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 640, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:19.569] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 660, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:19.849] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 680, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:20.156] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 700, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:20.451] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 720, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:20.761] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 740, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:21.054] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 760, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:21.354] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 780, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:21.653] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 800, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:21.954] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 820, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:22.254] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 840, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:22.556] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 860, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:22.855] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "videos" }, sort: { release_date: -1 }, skip: 880, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:05:23.539] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: {}, sort: { release_date: -1 }, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:33.643] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: {}, sort: { release_date: -1 }, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:43.290] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: {}, sort: { release_date: -1 }, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:54.614] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 20, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:54.924] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 20, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:55.214] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 40, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:55.515] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 60, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:55.818] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 80, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:56.119] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 100, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:56.420] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 120, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:56.719] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 140, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:57.020] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 160, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:57.321] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 180, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:57.621] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 200, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:57.922] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 220, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:58.225] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 240, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:58.525] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 260, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:58.827] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 280, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:59.127] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 300, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 10:06:59.430] [ERROR] admin - getTopicList Error : Failed to parse: { find: "topics", filter: { topic_type: "text" }, sort: { release_date: -1 }, skip: 320, limit: "20" }. 'limit' field must be numeric.
[2016-12-15 13:31:56.654] [ERROR] admin - deleteModel Error : No _id found on document!
[2016-12-16 15:39:36.715] [ERROR] admin - registerUser Error : User is not defined
[2016-12-16 15:40:00.108] [ERROR] admin - registerUser Error : User is not defined
